					2018-08-07
Result of analyse of data: 1647096 values with 16237 bad values (1.0%) (taken out)
Delta T: 4
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1993	7	10	17	6	4	10	3	9	12	2	8	10
1994	7	4	11	2	6	8	5	9	14	3	5	8
1995	13	9	22	10	8	18	2	5	7	3	6	9
1996	6	3	9	4	5	9	1	7	8	6	10	16
1997	11	6	17	6	10	16	3	7	10	4	6	10
1998	6	6	12	8	8	16	1	7	8	5	6	11
1999	16	12	28	4	7	11	2	11	13	3	7	10
2000	5	4	9	6	7	13	4	9	13	6	8	14
2001	7	8	15	7	8	15	3	7	10	4	9	13
2002	5	4	9	6	7	13	2	11	13	5	9	14
2003	7	8	15	5	9	14	6	12	18	6	5	11
2004	9	5	14	3	6	9	8	8	16	6	8	14
2005	6	6	12	3	5	8	1	7	8	0	3	3
2006	4	4	8	6	12	18	2	4	6	3	4	7
2007	6	7	13	2	6	8	4	12	16	3	7	10
2008	5	7	12	5	8	13	2	7	9	3	7	10
2009	11	2	13	4	12	16	4	9	13	4	6	10
2010	8	9	17	1	6	7	4	6	10	4	8	12
2011	4	5	9	4	7	11	3	7	10	4	5	9
2012	8	9	17	6	6	12	4	7	11	5	7	12
2013	8	3	11	5	4	9	2	6	8	7	13	20
2014	11	4	15	2	7	9	1	5	6	3	5	8
2015	9	4	13	4	6	10	1	8	9	3	4	7
2016	4	5	9	6	10	16	4	6	10	5	2	7
2017	11	11	22	5	8	13	4	10	14	4	8	12
2018	8	7	15	2	4	6	0	0	0	0	0	0
Delta T: 9
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	2	1	3	0	0	0	0	0	0	3	3	6
1987	3	5	8	2	2	4	13	16	29	5	9	14
1988	8	4	12	1	5	6	8	9	17	2	4	6
1989	4	5	9	5	8	13	3	6	9	2	4	6
1990	3	4	7	1	2	3	3	8	11	5	2	7
1991	5	6	11	1	4	5	2	8	10	5	4	9
1992	2	2	4	1	6	7	1	6	7	4	3	7
1993	6	8	14	3	3	6	0	9	9	1	3	4
1994	4	2	6	0	4	4	2	5	7	1	4	5
1995	10	7	17	5	7	12	0	4	4	3	4	7
1996	4	1	5	2	3	5	1	3	4	2	8	10
1997	5	4	9	0	8	8	1	4	5	3	3	6
1998	3	3	6	4	5	9	0	6	6	2	3	5
1999	10	11	21	1	3	4	1	5	6	2	3	5
2000	3	3	6	4	6	10	1	8	9	2	4	6
2001	3	6	9	3	5	8	3	7	10	2	8	10
2002	4	2	6	3	5	8	1	8	9	2	6	8
2003	4	8	12	1	8	9	3	8	11	4	2	6
2004	6	5	11	1	5	6	3	4	7	1	5	6
2005	5	4	9	1	4	5	1	7	8	0	3	3
2006	2	3	5	5	9	14	1	2	3	2	4	6
2007	2	4	6	2	5	7	1	9	10	0	5	5
2008	4	6	10	3	6	9	0	4	4	2	3	5
2009	4	2	6	0	8	8	2	6	8	2	6	8
2010	6	4	10	1	4	5	0	2	2	2	3	5
2011	2	4	6	2	5	7	1	6	7	1	5	6
2012	4	8	12	4	5	9	1	6	7	5	6	11
2013	6	2	8	0	3	3	1	5	6	4	8	12
2014	6	4	10	2	6	8	1	3	4	1	4	5
2015	3	4	7	3	3	6	0	5	5	1	3	4
2016	1	3	4	3	7	10	2	4	6	5	0	5
2017	7	9	16	3	7	10	2	4	6	4	8	12
2018	5	4	9	3	2	5	0	0	0	0	0	0
Delta T: 10
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	1	1	2	0	0	0	0	0	0	1	2	3
1987	3	3	6	0	2	2	11	13	24	5	7	12
1988	5	2	7	0	2	2	6	7	13	1	3	4
1989	1	2	3	2	6	8	2	5	7	1	1	2
1990	1	1	2	0	3	3	3	5	8	1	1	2
1991	4	2	6	1	3	4	1	4	5	0	2	2
1992	0	1	1	1	6	7	0	4	4	4	2	6
1993	4	6	10	0	3	3	0	6	6	0	1	1
1994	0	2	2	0	3	3	0	3	3	0	2	2
1995	6	5	11	3	4	7	0	4	4	1	3	4
1996	2	0	2	1	2	3	1	2	3	2	5	7
1997	3	1	4	0	6	6	1	2	3	1	1	2
1998	2	1	3	0	4	4	0	4	4	1	3	4
1999	8	7	15	1	2	3	0	3	3	0	3	3
2000	1	1	2	3	3	6	1	6	7	1	4	5
2001	2	4	6	1	4	5	2	5	7	1	3	4
2002	1	1	2	2	4	6	1	3	4	1	3	4
2003	1	4	5	1	5	6	2	6	8	2	1	3
2004	6	4	10	0	3	3	1	4	5	1	3	4
2005	3	3	6	0	4	4	1	3	4	0	2	2
2006	2	2	4	4	4	8	0	3	3	1	2	3
2007	2	3	5	1	4	5	0	5	5	0	5	5
2008	1	4	5	2	5	7	0	2	2	2	1	3
2009	2	2	4	0	5	5	0	4	4	1	2	3
2010	3	4	7	1	1	2	0	1	1	1	2	3
2011	1	2	3	0	4	4	1	5	6	1	3	4
2012	4	3	7	2	5	7	0	5	5	4	4	8
2013	2	2	4	0	3	3	0	3	3	2	3	5
2014	3	0	3	2	5	7	1	2	3	1	2	3
2015	2	4	6	2	3	5	0	4	4	1	2	3
2016	1	2	3	2	4	6	1	3	4	2	0	2
2017	6	4	10	1	3	4	1	3	4	3	7	10
2018	3	4	7	1	1	2	0	0	0	0	0	0
Delta T: 11
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	1	1	2	0	0	0	0	0	0	1	2	3
1987	2	1	3	0	2	2	6	10	16	2	3	5
1988	2	2	4	0	2	2	2	4	6	1	2	3
1989	0	2	2	1	4	5	2	4	6	0	1	1
1990	1	0	1	0	2	2	2	5	7	1	0	1
1991	2	2	4	0	1	1	0	4	4	0	2	2
1992	0	1	1	0	4	4	0	4	4	1	1	2
1993	2	3	5	0	3	3	0	3	3	0	0	0
1994	0	2	2	0	3	3	0	2	2	0	0	0
1995	2	2	4	3	3	6	0	3	3	1	2	3
1996	1	0	1	1	1	2	0	2	2	1	3	4
1997	2	1	3	0	6	6	1	2	3	0	0	0
1998	1	1	2	0	4	4	0	2	2	0	2	2
1999	6	3	9	0	1	1	0	3	3	0	2	2
2000	1	0	1	2	1	3	1	3	4	0	2	2
2001	1	2	3	1	2	3	1	4	5	1	3	4
2002	1	1	2	2	2	4	0	1	1	1	1	2
2003	1	4	5	0	2	2	1	4	5	2	1	3
2004	4	2	6	0	2	2	0	3	3	0	3	3
2005	3	2	5	0	2	2	0	2	2	0	1	1
2006	0	1	1	3	3	6	0	2	2	0	2	2
2007	1	2	3	0	4	4	0	2	2	0	2	2
2008	0	3	3	1	1	2	0	1	1	1	1	2
2009	1	1	2	0	3	3	0	2	2	0	1	1
2010	2	3	5	1	1	2	0	0	0	0	0	0
2011	0	2	2	0	4	4	1	3	4	1	1	2
2012	3	1	4	2	2	4	0	3	3	0	3	3
2013	2	0	2	0	3	3	0	1	1	0	1	1
2014	2	0	2	1	2	3	0	2	2	0	1	1
2015	1	2	3	2	2	4	0	2	2	0	2	2
2016	1	2	3	1	2	3	1	3	4	0	0	0
2017	6	3	9	1	2	3	1	2	3	1	7	8
2018	2	2	4	1	1	2	0	0	0	0	0	0
Delta T: 12
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	1	1	2	0	0	0	0	0	0	1	1	2
1987	1	1	2	0	2	2	5	6	11	1	3	4
1988	1	1	2	0	2	2	1	3	4	1	2	3
1989	0	0	0	1	1	2	2	3	5	0	0	0
1990	0	0	0	0	2	2	2	3	5	1	0	1
1991	1	0	1	0	1	1	0	3	3	0	0	0
1992	0	0	0	0	3	3	0	3	3	1	1	2
1993	1	1	2	0	2	2	0	1	1	0	0	0
1994	0	0	0	0	0	0	0	2	2	0	0	0
1995	0	1	1	1	3	4	0	1	1	0	2	2
1996	0	0	0	0	0	0	0	1	1	1	2	3
1997	1	1	2	0	3	3	1	1	2	0	0	0
1998	1	0	1	0	1	1	0	2	2	0	1	1
1999	3	2	5	0	0	0	0	1	1	0	0	0
2000	1	0	1	0	1	1	1	2	3	0	0	0
2001	0	0	0	1	1	2	0	3	3	0	3	3
2002	1	1	2	1	2	3	0	0	0	1	0	1
2003	1	2	3	0	2	2	1	1	2	0	1	1
2004	2	2	4	0	2	2	0	1	1	0	1	1
2005	2	0	2	0	0	0	0	1	1	0	0	0
2006	0	0	0	1	3	4	0	1	1	0	2	2
2007	0	1	1	0	2	2	0	1	1	0	1	1
2008	0	0	0	1	1	2	0	0	0	0	0	0
2009	0	1	1	0	2	2	0	1	1	0	1	1
2010	2	1	3	0	0	0	0	0	0	0	0	0
2011	0	1	1	0	3	3	1	2	3	0	1	1
2012	2	1	3	1	0	1	0	2	2	0	2	2
2013	0	0	0	0	1	1	0	1	1	0	0	0
2014	2	0	2	0	0	0	0	1	1	0	1	1
2015	0	1	1	2	1	3	0	1	1	0	1	1
2016	1	1	2	0	1	1	0	3	3	0	0	0
2017	2	1	3	0	1	1	0	2	2	0	4	4
2018	0	1	1	1	1	2	0	0	0	0	0	0
Delta T: 13
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	1	1	2	0	0	0	0	0	0	1	1	2
1987	1	1	2	0	1	1	2	4	6	0	2	2
1988	1	0	1	0	1	1	1	2	3	1	1	2
1989	0	0	0	0	1	1	2	2	4	0	0	0
1990	0	0	0	0	1	1	2	3	5	1	0	1
1991	1	0	1	0	1	1	0	2	2	0	0	0
1992	0	0	0	0	2	2	0	2	2	0	1	1
1993	1	1	2	0	2	2	0	0	0	0	0	0
1994	0	0	0	0	0	0	0	0	0	0	0	0
1995	0	1	1	0	1	1	0	0	0	0	1	1
1996	0	0	0	0	0	0	0	0	0	0	0	0
1997	0	0	0	0	2	2	0	0	0	0	0	0
1998	0	0	0	0	1	1	0	0	0	0	1	1
1999	1	1	2	0	0	0	0	0	0	0	0	0
2000	1	0	1	0	1	1	0	2	2	0	0	0
2001	0	0	0	0	1	1	0	2	2	0	1	1
2002	0	0	0	0	1	1	0	0	0	1	0	1
2003	0	1	1	0	1	1	0	1	1	0	0	0
2004	2	1	3	0	1	1	0	0	0	0	1	1
2005	1	0	1	0	0	0	0	1	1	0	0	0
2006	0	0	0	0	1	1	0	1	1	0	2	2
2007	0	1	1	0	2	2	0	0	0	0	0	0
2008	0	0	0	1	1	2	0	0	0	0	0	0
2009	0	0	0	0	1	1	0	1	1	0	1	1
2010	2	0	2	0	0	0	0	0	0	0	0	0
2011	0	1	1	0	1	1	1	2	3	0	1	1
2012	2	1	3	0	0	0	0	0	0	0	2	2
2013	0	0	0	0	1	1	0	1	1	0	0	0
2014	0	0	0	0	0	0	0	1	1	0	1	1
2015	0	0	0	0	0	0	0	0	0	0	0	0
2016	1	1	2	0	1	1	0	1	1	0	0	0
2017	0	0	0	0	1	1	0	0	0	0	2	2
